speed,rpm,load
7,898,44
7,898,44
1,917,32
1,917,32
0,774,38
0,774,38
0,776,38
0,776,38
0,782,39
0,782,39
0,781,38
0,781,38
0,781,39
0,781,39
0,778,37
0,778,37
0,780,36
0,780,36
0,780,39
0,780,39
0,779,38
0,774,35
0,780,38
0,776,39
0,786,38
0,786,38
0,776,36
0,783,36
0,785,39
0,785,39
0,781,38
0,781,38
0,780,0
0,777,37
0,780,2
0,781,2
0,776,37
0,780,37
0,780,38
0,0,38
0,780,35
0,780,38
0,778,38
0,777,37
0,777,37
0,783,37
0,784,39
0,778,37
0,788,39
0,781,36
0,783,37
0,777,36
0,786,36
0,781,38
0,781,38
0,782,34
0,768,39
7,946,86
19,1747,0
25,1783,43
24,1654,1
11,879,31
6,964,36
7,963,96
15,1353,9
24,1706,41
24,1706,41
25,1783,31
26,1778,20
22,1550,9
12,843,38
6,901,42
0,840,38
0,776,44
0,776,44
6,714,69
6,714,69
5,923,49
8,939,38
1,914,48
2,886,70
2,886,70
2,886,70
2,1396,55
15,899,26
12,830,40
13,956,96
13,956,96
17,1240,72
17,1240,72
6,880,38
0,882,49
0,873,56
1,895,58
2,937,55
2,937,55
2,937,55
4,890,71
7,904,58
7,904,58
4,908,63
5,953,58
15,1859,42
14,949,27
14,949,27
19,1327,59
19,1327,59
26,1806,15
26,1806,15
23,1175,0
23,1175,0
10,887,1
6,893,35
9,1095,81
13,1536,15
15,1244,72
24,0,42
27,1897,23
31,1979,1
29,1329,46
33,1470,21
32,1494,32
37,1660,26
34,1558,18
32,1393,0
29,1311,30
29,1261,7
30,1359,59
30,1353,5
30,1353,5
27,1221,27
26,1162,21
25,1111,20
25,1140,77
34,1526,53
34,1526,53
32,1447,0
27,1254,67
27,1254,67
36,1657,74
36,1657,74
51,2332,94
56,1768,34
44,1410,0
34,1085,0
19,926,27
14,956,81
13,962,97
23,1634,72
32,1537,2
32,1385,9
29,1299,22
27,1219,52
26,1146,27
21,957,18
24,1078,94
24,1078,94
27,1237,28
27,1212,20
29,1303,54
34,1549,19
43,1936,45
43,1920,0
37,875,28
23,907,30
18,916,30
18,916,30
12,914,33
12,1039,96
12,884,63
12,884,63
7,958,34
3,891,58
0,835,32
0,774,41
0,736,47
2,0,0
200,0,0
0,1023,92
16,2058,56
17,1194,37
19,1329,19
23,1609,10
19,1287,0
22,1573,48
22,1573,48
21,1416,2
21,1416,2
16,1168,49
16,1168,49
20,1356,9
20,1356,9
10,910,31
10,910,31
20,1461,3
22,1545,5
15,1290,58
20,1545,52
14,930,14
10,906,14
5,875,51
5,890,68
5,930,68
3,901,41
0,901,45
0,777,47
0,777,47
0,781,45
0,781,45
0,779,44
0,779,44
0,784,45
0,784,45
0,774,45
0,774,45
0,780,45
0,780,45
0,777,45
0,778,45
0,779,46
0,777,45
0,779,46
0,779,46
0,779,46
0,779,46
0,778,48
0,778,48
0,778,48
0,778,48
0,780,48
0,780,48
0,780,48
0,780,48
0,780,47
0,780,47
0,780,47
0,780,47
0,781,48
0,781,48
0,781,48
0,781,48
0,778,48
0,778,48
0,781,48
0,781,48
0,778,48
0,778,48
0,776,52
0,776,52
0,779,50
0,777,50
0,773,50
0,777,52
0,775,53
0,782,51
0,781,51
0,783,52
0,780,52
0,782,50
0,784,52
0,778,51
0,772,55
9,1107,79
14,1031,40
20,1466,64
31,1343,0
36,1632,23
35,1585,43
39,1777,33
41,1857,42
40,1848,7
36,1605,0
32,1397,9
33,1506,45
41,1899,83
47,2194,0
50,2237,44
34,1188,0
12,884,64
10,898,0
12,884,64
8,804,64
8,804,64
24,1639,64
24,1639,64
30,1980,64
30,1980,64
31,2196,26
31,2196,26
31,0,26
31,0,26
31,0,29
31,0,29
24,914,36
24,914,36
23,914,36
23,914,36
23,920,35
23,920,35
23,920,36
23,1447,21
19,882,82
23,1646,65
25,1756,16
23,1604,5
15,864,29
8,904,37
3,914,36
1,915,36
0,771,45
0,776,48
0,776,50
0,777,50
0,778,50
0,781,49
0,782,50
0,779,50
0,783,50
0,1008,74
2,841,58
2,841,58
4,925,36
4,925,36
0,765,49
0,765,49
0,774,51
0,774,51
0,780,50
0,780,50
0,779,50
0,782,50
0,780,50
0,782,50
0,781,51
0,781,50
2,1387,29
2,1387,29
10,846,36
10,846,36
7,870,34
7,870,34
11,1357,38
11,1357,38
14,1807,7
6,840,34
1,900,35
0,735,56
2,900,61
7,898,36
2,914,35
0,750,53
2,934,0
0,910,34
0,744,31
0,775,49
0,778,50
0,778,59
4,923,53
8,896,32
8,896,32
6,896,38
0,0,35
0,754,51
0,754,49
0,927,67
0,1022,15
8,1018,59
9,907,23
7,921,32
6,928,34
4,918,37
3,862,63
7,966,28
10,1265,5
8,1003,16
7,917,30
2,912,34
0,903,34
0,764,50
2,913,56
4,921,27
1,913,36
0,767,44
0,776,48
0,781,49
2,926,51
3,901,35
2,914,37
0,849,35
0,710,68
6,914,35
1,916,36
0,865,34
0,777,49
0,781,49
0,781,48
0,780,48
0,778,48
0,778,49
0,779,48
0,778,49
1,888,65
8,979,32
6,913,36
1,919,35
2,902,46
3,911,43
3,931,34
0,818,36
0,770,49
0,750,49
2,943,49
2,911,49
0,754,40
0,771,47
1,743,71
11,743,12
12,0,31
0,1554,18
12,1552,16
12,1552,15
12,1392,11
11,1404,16
11,1094,1
4,894,30
1,893,35
3,946,42
1,919,34
0,751,49
0,778,47
0,778,47
0,780,47
0,779,47
0,780,49
0,780,49
0,781,49
0,768,56
3,951,55
2,907,37
1,846,70
5,919,29
2,890,52
5,917,37
1,918,36
0,786,42
0,832,57
1,871,34
1,909,36
0,830,27
0,769,49
0,769,49
0,769,49
0,779,49
0,779,49
0,779,49
0,779,49
0,779,49
0,779,49
2,917,56
2,917,56
2,917,56
3,892,47
3,892,47
1,927,36
0,749,50
0,775,50
0,779,49
1,894,92
7,936,14
7,913,43
11,1434,42
14,1649,3
3,888,0
3,876,37
3,928,43
1,1207,57
5,888,45
5,870,51
7,898,32
7,898,32
8,1344,60
8,1344,60
5,881,30
5,881,30
6,815,98
6,815,98
6,3,23
6,3,23
6,1511,10
6,988,9
13,934,51
13,890,46
7,903,38
6,966,40
1,908,35
0,751,49
0,778,47
0,781,46
0,779,46
0,781,46
