,speed,rpm,load
0,7,898,44
1,7,898,44
2,1,917,32
3,1,917,32
57,7,946,86
59,25,1783,43
60,24,1654,1
61,11,879,31
62,6,964,36
63,7,963,96
64,15,1353,9
65,24,1706,41
66,24,1706,41
67,25,1783,31
68,26,1778,20
69,22,1550,9
70,12,843,38
71,6,901,42
75,6,714,69
76,6,714,69
77,5,923,49
78,8,939,38
79,1,914,48
80,2,886,70
81,2,886,70
82,2,886,70
83,2,1396,55
84,15,899,26
85,12,830,40
86,13,956,96
87,13,956,96
88,17,1240,72
89,17,1240,72
90,6,880,38
93,1,895,58
94,2,937,55
95,2,937,55
96,2,937,55
97,4,890,71
98,7,904,58
99,7,904,58
100,4,908,63
101,5,953,58
102,15,1859,42
103,14,949,27
104,14,949,27
105,19,1327,59
106,19,1327,59
107,26,1806,15
108,26,1806,15
111,10,887,1
112,6,893,35
113,9,1095,81
114,13,1536,15
115,15,1244,72
117,27,1897,23
118,31,1979,1
119,29,1329,46
120,33,1470,21
121,32,1494,32
122,37,1660,26
123,34,1558,18
125,29,1311,30
126,29,1261,7
127,30,1359,59
128,30,1353,5
129,30,1353,5
130,27,1221,27
131,26,1162,21
132,25,1111,20
133,25,1140,77
134,34,1526,53
135,34,1526,53
137,27,1254,67
138,27,1254,67
139,36,1657,74
140,36,1657,74
141,51,2332,94
142,56,1768,34
145,19,926,27
146,14,956,81
147,13,962,97
148,23,1634,72
149,32,1537,2
150,32,1385,9
151,29,1299,22
152,27,1219,52
153,26,1146,27
154,21,957,18
155,24,1078,94
156,24,1078,94
157,27,1237,28
158,27,1212,20
159,29,1303,54
160,34,1549,19
161,43,1936,45
163,37,875,28
164,23,907,30
165,18,916,30
166,18,916,30
167,12,914,33
168,12,1039,96
169,12,884,63
170,12,884,63
171,7,958,34
172,3,891,58
179,16,2058,56
180,17,1194,37
181,19,1329,19
182,23,1609,10
184,22,1573,48
185,22,1573,48
186,21,1416,2
187,21,1416,2
188,16,1168,49
189,16,1168,49
190,20,1356,9
191,20,1356,9
192,10,910,31
193,10,910,31
194,20,1461,3
195,22,1545,5
196,15,1290,58
197,20,1545,52
198,14,930,14
199,10,906,14
200,5,875,51
201,5,890,68
202,5,930,68
203,3,901,41
262,9,1107,79
263,14,1031,40
264,20,1466,64
266,36,1632,23
267,35,1585,43
268,39,1777,33
269,41,1857,42
270,40,1848,7
272,32,1397,9
273,33,1506,45
274,41,1899,83
276,50,2237,44
278,12,884,64
280,12,884,64
281,8,804,64
282,8,804,64
283,24,1639,64
284,24,1639,64
285,30,1980,64
286,30,1980,64
287,31,2196,26
288,31,2196,26
293,24,914,36
294,24,914,36
295,23,914,36
296,23,914,36
297,23,920,35
298,23,920,35
299,23,920,36
300,23,1447,21
301,19,882,82
302,23,1646,65
303,25,1756,16
304,23,1604,5
305,15,864,29
306,8,904,37
307,3,914,36
308,1,915,36
319,2,841,58
320,2,841,58
321,4,925,36
322,4,925,36
335,2,1387,29
336,2,1387,29
337,10,846,36
338,10,846,36
339,7,870,34
340,7,870,34
341,11,1357,38
342,11,1357,38
343,14,1807,7
344,6,840,34
345,1,900,35
347,2,900,61
348,7,898,36
349,2,914,35
357,4,923,53
358,8,896,32
359,8,896,32
360,6,896,38
366,8,1018,59
367,9,907,23
368,7,921,32
369,6,928,34
370,4,918,37
371,3,862,63
372,7,966,28
373,10,1265,5
374,8,1003,16
375,7,917,30
376,2,912,34
379,2,913,56
380,4,921,27
381,1,913,36
385,2,926,51
386,3,901,35
387,2,914,37
390,6,914,35
391,1,916,36
401,1,888,65
402,8,979,32
403,6,913,36
404,1,919,35
405,2,902,46
406,3,911,43
407,3,931,34
411,2,943,49
412,2,911,49
415,1,743,71
416,11,743,12
419,12,1552,16
420,12,1552,15
421,12,1392,11
422,11,1404,16
423,11,1094,1
424,4,894,30
425,1,893,35
426,3,946,42
427,1,919,34
437,3,951,55
438,2,907,37
439,1,846,70
440,5,919,29
441,2,890,52
442,5,917,37
443,1,918,36
446,1,871,34
447,1,909,36
458,2,917,56
459,2,917,56
460,2,917,56
461,3,892,47
462,3,892,47
463,1,927,36
467,1,894,92
468,7,936,14
469,7,913,43
470,11,1434,42
471,14,1649,3
473,3,876,37
474,3,928,43
475,1,1207,57
476,5,888,45
477,5,870,51
478,7,898,32
479,7,898,32
480,8,1344,60
481,8,1344,60
482,5,881,30
483,5,881,30
484,6,815,98
485,6,815,98
488,6,1511,10
489,6,988,9
490,13,934,51
491,13,890,46
492,7,903,38
493,6,966,40
494,1,908,35
527,12,1534,43
528,14,1026,72
529,14,1026,72
530,17,1153,14
531,17,1153,14
532,17,1236,43
533,17,1236,43
534,20,1394,42
535,20,1394,42
536,21,1514,9
537,21,1514,9
538,20,1395,5
539,10,883,25
540,9,923,23
542,5,920,25
543,7,888,25
544,7,894,36
545,6,919,36
546,2,918,35
597,1,811,29
598,1,915,28
600,14,1824,31
601,16,1162,53
602,20,1384,39
603,15,1043,3
604,10,903,82
606,9,886,32
607,11,912,73
608,14,1013,74
609,7,872,10
610,8,856,40
611,6,871,66
612,6,914,21
613,6,888,72
614,8,960,49
615,14,1000,49
616,17,1225,11
617,17,1152,41
618,19,1340,50
619,21,1470,14
620,19,1325,10
621,21,1468,32
622,23,1599,17
623,24,1692,32
624,25,1750,16
625,27,1819,18
626,29,1311,61
627,33,1478,19
628,33,1463,28
629,33,1495,32
630,34,1592,34
631,37,1685,41
632,41,1327,66
633,43,1433,19
635,42,1378,54
636,48,1541,58
637,54,1761,82
640,48,1576,57
641,48,1576,57
642,49,1587,6
643,49,1587,6
644,47,1504,19
645,47,1504,19
646,46,1491,6
647,46,1491,6
648,46,1462,2
649,43,1403,41
650,45,1438,3
651,41,1310,41
652,45,1444,52
653,45,1428,11
654,43,1391,7
655,43,1400,25
656,44,1423,46
657,46,1462,12
658,44,1424,10
659,42,1357,29
660,42,1358,45
661,42,1357,45
662,39,1257,12
663,33,880,16
664,29,911,25
665,23,916,23
666,19,1272,23
667,21,1699,42
668,24,1681,3
670,19,1334,21
671,19,1280,4
672,13,875,17
673,13,1168,75
674,27,1836,3
676,21,1457,45
678,19,1418,27
679,25,1781,34
680,29,2122,54
681,34,1582,40
683,28,1294,43
684,32,1462,32
685,39,1753,62
687,32,1415,27
688,31,1403,1
689,29,1278,5
691,14,939,18
692,21,1496,38
693,20,1438,14
694,24,1686,14
695,24,1682,24
696,29,2013,28
698,23,1609,4
700,15,1045,39
701,14,1002,12
702,12,881,42
703,14,959,72
704,16,1154,45
705,23,1636,48
706,25,1753,11
707,21,1463,2
708,20,1371,12
709,20,1371,12
710,16,1122,12
711,16,1122,12
712,25,1776,54
713,25,1776,54
714,35,2420,41
715,35,2420,41
716,38,1716,49
717,38,1716,49
718,37,1637,1
720,26,1182,7
721,24,991,12
722,22,1022,12
723,26,1170,58
724,27,1196,46
725,28,1271,46
726,26,1199,5
728,36,1536,55
731,27,1233,39
732,28,1287,61
733,32,1443,30
734,31,1423,37
735,32,1454,44
736,32,1459,27
737,30,1319,52
738,33,1514,46
739,34,1544,38
740,36,1602,38
741,31,1468,28
742,35,1597,41
743,39,1751,49
744,41,1835,36
745,43,1941,47
746,46,1511,43
747,51,1640,23
748,52,1687,12
749,55,1775,36
750,58,1870,32
751,61,1949,36
752,63,2031,42
753,63,1518,46
754,66,1613,48
755,66,1614,30
756,67,1616,26
757,66,1613,21
758,65,1590,25
759,65,1590,25
760,66,1606,32
761,66,1606,32
762,65,1565,10
763,65,1565,10
764,63,1540,25
765,63,1540,25
766,64,1545,29
767,64,1545,29
768,62,1507,16
769,62,1513,34
770,64,1544,31
771,65,1579,36
772,64,1548,16
773,63,1544,32
774,63,1544,32
775,64,1559,49
776,64,1559,49
777,67,1639,44
778,67,1639,44
779,68,1649,24
780,68,1649,24
781,67,1644,35
782,67,1644,35
783,67,1599,15
784,67,1599,15
785,64,1555,16
786,64,1555,16
787,64,1550,24
788,64,1550,24
789,63,1541,19
790,63,1541,19
791,63,1528,16
792,63,1528,16
793,61,1473,17
794,61,1463,17
795,61,1435,17
796,58,1391,49
797,57,1390,49
799,58,1366,72
800,61,1483,40
801,61,1482,18
802,61,1450,11
803,59,1450,21
804,59,1428,41
805,60,1448,47
807,3,1543,54
809,65,1584,33
810,66,1601,32
811,66,1611,30
812,66,1607,31
813,67,1627,37
814,67,1627,37
815,68,1642,30
816,68,1642,30
817,65,1594,3
818,65,1594,3
819,64,1562,38
820,64,1562,38
821,67,1623,51
822,67,1623,51
823,70,1708,51
824,72,1757,34
825,72,1757,26
826,72,1749,4
832,63,1542,37
833,65,1568,1
835,54,1319,4
836,54,1319,4
837,46,888,20
838,46,888,20
839,46,1482,47
840,46,1482,47
841,51,1649,51
842,51,1649,51
843,52,1663,34
844,52,1663,34
846,45,1443,11
847,45,1455,45
848,45,1435,36
849,36,868,20
850,35,1564,33
851,40,1812,58
852,43,1452,21
853,46,1536,18
854,46,1489,21
855,51,1656,57
856,51,1656,57
857,54,1748,38
858,54,1748,38
859,54,1748,38
860,58,1857,41
861,58,1857,41
862,58,1857,41
863,59,1882,28
864,59,1882,28
865,59,1882,28
866,57,1834,9
867,57,1834,9
868,57,1834,9
869,55,1741,2
870,55,1741,2
871,55,1741,2
874,40,1286,20
875,44,1442,20
876,45,1458,37
877,45,1458,37
878,45,1472,37
879,45,1472,37
883,48,1561,35
884,49,1589,23
885,48,1521,23
886,45,1408,16
889,50,1648,46
890,50,1712,53
891,53,1654,2
893,44,1412,21
894,44,1437,43
896,37,1653,25
897,39,1791,63
898,47,2105,48
900,45,2069,57
901,50,2237,3
903,44,1447,15
904,47,1522,52
905,49,1571,4
906,46,1492,32
907,46,1438,8
909,37,1709,56
910,42,1908,41
911,42,1883,4
912,31,1399,12
913,31,1399,12
914,32,1434,12
915,32,1434,12
916,34,1544,20
917,34,1544,20
918,31,1422,9
919,31,1422,9
920,30,1375,30
921,30,1375,30
922,35,1575,49
923,35,1575,49
924,37,1660,52
925,37,1660,52
926,35,1596,3
927,35,1596,3
928,33,1475,9
929,33,1475,9
932,11,904,23
933,4,877,34
934,10,1301,57
936,26,1824,51
937,28,1946,41
938,29,1322,37
939,33,1474,42
940,33,1516,48
941,41,1834,40
942,41,1802,40
943,41,1784,40
944,40,1785,37
945,36,1655,25
946,41,1777,36
947,45,2091,41
948,45,2091,41
949,48,1528,30
950,48,1528,30
953,49,1564,12
954,49,1564,12
960,45,1467,5
962,38,1236,60
963,38,1233,53
964,40,1294,65
965,41,1317,5
966,39,1249,5
967,38,1252,70
968,41,1315,44
970,38,1725,51
971,46,2081,55
972,52,2147,2
974,43,1398,61
975,43,1388,48
976,47,1535,25
977,49,1593,34
978,49,1592,34
979,53,1710,53
980,55,1763,38
981,54,1738,32
982,53,1726,31
983,53,1726,31
984,58,1871,50
985,58,1871,50
986,60,1954,30
987,60,1954,30
988,62,1993,30
989,62,1993,30
992,53,1740,7
993,53,1703,43
994,57,1839,51
995,61,907,10
996,64,1550,79
997,68,1652,79
998,70,1708,34
999,67,1576,7
1000,56,1383,9
1001,56,1383,9
1002,57,1388,65
1003,57,1388,65
1004,54,1287,12
1005,54,1287,12
1006,53,1286,77
1007,53,1289,50
1009,46,1496,31
1010,43,1410,18
1011,44,1410,51
1012,47,1512,50
1013,50,1622,43
1014,50,1628,2
1015,49,1581,20
1016,48,1533,16
1017,48,1533,16
1018,47,1506,16
1019,47,1506,16
1020,50,1644,16
1021,50,1644,16
1022,52,1674,27
1023,52,1674,27
1024,56,1751,27
1025,64,2017,67
1026,67,2175,68
1028,65,2010,49
1029,64,2124,39
1031,66,1602,31
1032,66,1602,32
1033,66,1645,37
1034,68,1654,24
1035,68,1700,33
1036,68,1700,33
1037,70,1699,22
1038,70,1699,22
1039,70,1693,28
1040,70,1693,28
1043,64,1544,10
1044,64,1544,10
1049,53,1291,47
1052,48,1171,12
1053,50,1221,52
1054,51,1211,14
1056,47,1507,53
1057,50,1603,24
1058,49,1560,25
1059,50,1595,19
1060,49,1585,57
1061,53,1726,56
1062,53,1726,56
1063,56,1795,28
1064,56,1795,28
1067,52,1692,50
1068,52,1692,50
1069,55,1761,53
1070,55,1761,53
1071,60,1929,6
1072,60,1929,6
1073,62,1973,14
1074,62,1978,9
1075,60,1920,3
1076,59,1910,51
1077,63,2021,47
1078,63,2028,39
1080,63,1544,7
1081,65,1569,40
1082,67,1631,40
1084,51,887,24
1085,38,909,23
1086,8,921,23
1087,19,919,22
1088,3,921,25
1112,5,900,53
1113,4,919,30
1114,2,921,27
1115,1,922,26
1126,13,1703,53
1127,24,1705,63
1128,40,2421,1
1130,44,1940,12
1131,41,1873,16
1134,39,1244,2
1135,40,1295,36
1136,42,1385,71
1137,42,1385,71
1138,47,1514,73
1139,47,1514,73
1140,49,1551,3
1141,49,1551,3
1142,45,1431,10
1143,45,1431,10
1144,45,1478,69
1145,45,1478,69
1146,47,1548,12
1147,52,1681,40
1148,50,1605,11
1149,47,1509,12
1150,48,1571,47
1151,53,1704,45
1152,56,1801,44
1153,58,1857,44
1155,61,1922,64
1156,71,2271,83
1157,72,1726,83
1158,72,1738,11
1161,59,1431,14
1162,59,1431,8
1164,58,1481,69
1165,58,1540,34
1166,61,1491,38
1168,67,1626,85
1169,69,1634,36
1170,72,1772,3
1175,56,1375,61
1176,56,1375,61
1179,51,1656,61
1180,51,1656,61
1181,52,1675,25
1182,56,1824,100
1183,67,2164,86
1184,70,2273,96
1188,48,1574,71
1189,59,1927,100
1190,72,2345,96
1191,75,1839,98
1192,80,1938,28
1193,79,1910,9
1196,69,1673,3
1199,65,1579,11
1200,65,1579,11
1201,66,1609,7
1202,66,1609,7
1205,49,877,23
1206,49,914,21
1207,50,917,20
1208,46,917,21
1209,43,918,21
1210,41,919,21
1211,38,920,21
1212,39,917,21
1213,40,919,21
1214,40,920,21
1215,39,1027,21
1216,48,2208,99
1217,56,1786,20
1219,47,1509,4
1220,46,1490,8
1222,38,1253,31
1223,38,1256,32
1224,38,1209,32
1226,35,1522,47
1227,39,1894,54
1229,51,1658,45
1230,52,1660,12
1231,3,1645,9
1232,3,1664,5
1233,51,1684,37
1234,53,1702,33
1235,55,1811,41
1236,57,1842,31
1237,60,1927,26
1238,60,1927,6
1239,57,1818,26
1240,59,1919,82
1241,72,2345,87
1242,73,1791,14
1243,76,1842,3
1247,53,1338,14
1248,53,1338,14
1249,57,1394,76
1250,57,1394,76
1251,59,1421,4
1252,59,1421,4
1253,60,1452,63
1254,60,1452,63
1255,63,1491,7
1256,60,1469,24
1259,51,1236,52
1260,54,1308,56
1261,55,1337,40
1262,58,1396,44
1263,57,1387,2
1264,55,1342,26
1265,56,1371,65
1266,59,1423,45
1267,61,1493,56
1268,61,1498,55
1269,62,1512,60
1270,59,1433,5
1271,56,1357,52
1272,54,1314,31
1273,54,1315,50
1274,54,1325,76
1275,56,1366,60
1276,57,1394,23
1277,58,1427,81
1278,61,1487,33
1282,50,1249,47
1283,52,1288,47
1284,53,1253,47
1287,47,1523,4
1288,47,1523,1
1289,46,1298,1
1290,31,1152,24
1291,30,1388,22
1292,30,1388,24
1293,34,1495,45
1294,34,1731,37
1295,41,1883,45
1297,43,1375,16
1298,43,1377,28
1299,44,1434,45
1300,48,1558,43
1301,48,1558,43
1302,51,1657,41
1303,51,1657,41
1304,53,1703,31
1305,53,1703,31
1306,55,1780,38
1307,55,1780,38
1308,58,1888,43
1309,58,1888,43
1310,57,1837,5
1311,64,2080,84
1313,70,1704,65
1314,70,1702,62
1315,72,1762,57
1316,72,1760,32
1317,72,1754,8
1319,70,906,21
1320,71,917,20
1321,65,916,21
1322,60,917,21
1323,59,919,21
1324,57,919,21
1325,54,917,22
1326,36,920,22
1327,32,1437,35
1328,34,1587,32
1329,44,1979,72
1330,50,2272,49
1331,52,2356,41
1332,50,2241,1
1334,34,1573,17
1335,40,1814,44
1337,24,901,23
1338,22,916,22
1339,26,1167,80
1340,27,1227,6
1341,18,871,24
1342,15,1082,23
1343,15,1102,27
1344,14,977,12
1345,13,995,23
1346,13,928,81
1347,17,1250,3
1348,24,1596,49
1349,27,1859,30
1350,23,1496,2
1351,12,874,25
1352,10,832,62
1353,10,889,75
1354,10,841,70
1357,17,1227,70
1358,17,1107,46
1359,21,1787,72
1360,33,1492,52
1361,33,1492,52
1362,39,1749,32
1363,39,1749,32
1364,39,1766,38
1365,39,1766,38
1366,40,1782,7
1367,40,1782,7
1368,36,1647,45
1369,36,1647,45
1370,41,1874,30
1371,42,1878,8
1372,40,1811,3
1374,22,935,22
1375,23,1608,45
1377,15,1113,52
1378,23,1637,16
1379,25,1781,33
1380,29,2037,21
1381,29,2054,1
1384,12,851,26
1385,17,1244,52
1386,17,1244,52
1387,20,1365,9
1388,20,1365,9
1389,20,1378,6
1390,20,1378,6
1391,21,1489,14
1392,21,1489,14
1397,12,859,24
1398,12,859,24
1399,10,789,94
1400,10,789,94
1401,13,906,21
1402,13,906,21
1403,18,922,23
1404,18,922,23
1405,18,922,23
1406,18,922,23
1407,6,920,22
1408,2,913,40
1409,4,909,45
1410,11,1534,50
1411,16,1312,37
1412,26,1771,10
1414,23,1647,12
1415,30,2140,46
1416,35,1600,60
1417,37,880,20
1418,26,907,21
1419,15,916,21
1420,14,917,23
1421,12,920,22
1422,4,918,22
1423,2,921,23
1520,21,1470,25
1521,19,1391,26
1522,26,1890,66
1523,28,1986,3
1526,12,821,86
1527,18,1297,72
1528,20,1423,45
1529,19,1358,44
1530,19,1358,44
1531,16,1141,45
1532,16,1141,45
1533,9,924,45
1534,9,924,45
1535,3,916,48
1536,3,916,48
1540,2,867,40
1541,1,882,54
1542,7,904,76
1543,3,912,57
1544,3,899,66
1545,7,953,96
1546,14,1794,38
1547,11,1352,31
1548,9,1175,41
1549,7,796,41
1550,7,930,48
1551,4,908,52
1552,4,908,52
1553,2,921,50
1554,2,921,50
1555,3,888,70
1556,3,888,70
1557,8,962,96
1558,8,962,96
1559,16,1797,8
1560,16,1797,8
1561,14,969,67
1562,14,969,67
1563,18,1295,46
1564,19,1345,26
1565,20,1438,40
1566,22,1516,25
1567,20,1483,28
1568,21,1498,20
1569,19,1362,45
1570,21,1465,26
1571,19,1333,1
1572,19,1346,41
1573,23,1639,41
1574,29,1996,38
1575,28,1302,14
1577,22,992,70
1578,21,990,76
1579,22,990,74
1580,22,990,35
1581,21,847,29
1582,14,961,31
1583,14,961,30
1584,11,843,68
1585,4,917,43
1595,3,769,54
1596,1,933,46
1599,1,903,55
1600,3,934,53
1601,6,949,59
1602,7,915,45
1603,1,914,49
1604,2,908,60
1605,1,914,49
1606,6,937,59
1607,6,848,78
1608,17,1758,1
1609,24,1735,59
1610,28,1264,31
1611,29,1332,9
1612,29,1316,25
1613,30,1408,9
1614,24,1070,3
1615,19,842,29
1616,16,901,40
1617,9,901,71
1618,14,1033,86
1619,11,786,71
1620,11,900,46
1621,14,1012,29
1622,13,941,12
1623,13,907,24
1624,10,824,61
1626,12,876,34
1627,13,933,30
1628,6,851,55
1629,12,880,97
1630,15,1100,64
1631,18,1155,32
1633,15,1043,43
1634,13,941,13
1635,12,900,25
1636,12,876,45
1639,12,869,49
1640,12,947,58
1641,13,924,60
1642,8,927,43
1643,9,951,49
1644,8,895,55
1645,13,980,40
1646,12,915,44
1647,11,920,44
1648,14,922,44
1649,11,923,44
1650,6,922,44
1651,1,916,45
1652,1,903,45
1653,6,919,41
1654,6,905,55
1655,5,857,47
1656,3,864,59
1657,13,1607,31
1658,16,1198,33
1659,25,1662,14
1660,14,883,32
1661,6,852,69
1662,8,920,43
1663,8,952,41
1664,14,990,98
1665,22,1515,20
1666,26,1751,15
1667,13,865,34
1668,21,1522,60
1669,22,1514,34
1670,13,893,29
1671,3,854,56
1672,4,911,69
1673,15,1890,56
1674,18,1310,60
1675,18,1303,34
1676,18,1303,34
